Genes,FC_mem_KO_mem WT
Gm12295,2.092592593
Loxl2,2.092485549
Macc1,2.090909091
Tnfsf11,2.090909091
Gpr61,2.090614887
Olfr684,2.088235294
Gm20683,2.085798817
Gm17518,2.084745763
Wnt11,2.083333333
Ctnna2,2.081081081
Gm26734,2.08
Olfr716,2.076923077
Olfr490,2.074626866
Slc6a13,2.074626866
Cntn1,2.074324324
Myof,2.07278481
Osbp2,2.072463768
Olfr1264,2.070967742
2810425M01Rik,2.070707071
4933433G15Rik,2.070588235
Zfp791,2.070175439
Lmx1a,2.067567568
Lypd3,2.065217391
Olfr750,2.064
Clec5a,2.064
Stkld1,2.063829787
Shroom2,2.062111801
Gm42417,2.060606061
Gm1123,2.058823529
Pmp22,2.057692308
Slc7a13,2.057553957
Myl6b,2.056818182
Mttp,2.055555556
Veph1,2.053475936
Smco4,2.053435115
Mir9-3hg,2.053333333
Ppp1r26,2.052830189
Cdh20,2.052631579
Olfr157,2.049145299
Retn,2.047619048
Prss53,2.047169811
Gphb5,2.046875
Gm4969,2.037267081
Wfdc3,2.037037037
Chrnb3,2.036363636
Serpina9,2.036363636
A430105J06Rik,2.035714286
D630039A03Rik,2.034782609
Fcrl1,2.033195021
Crocc2,2.032467532
Mrgprx1,2.032258065
Kel,2.031276416
Olfr1352,2.031055901
Olfr1101,2.030487805
Clmn,2.02832244
Gm4876,2.028037383
Rilpl1,2.02425876
Prlhr,2.02247191
Tas2r126,2.021978022
Gm26538,2.020833333
Krt71,2.020833333
Slc12a8,2.020134228
Gm14548,2.02
Gm45009,2.019230769
Coro6,2.018518519
Gm9932,2.017241379
Dgat2,2.017045455
Tnfrsf8,2.014925373
Srgap1,2.013157895
Gm44618,2.011904762
4930480K23Rik,2.010810811
1700039M15Rik,2.00952381
Triml1,2.008333333
Arhgap28,2.008264463
Popdc2,2.006711409
Col14a1,2.006704981
Scn10a,2.00617284
Vstm5,2.005025126
Trim16,2.004659832
Styx,2.004366812
Ppfibp2,2.003870968
Tcaf1,2.003831418
Chst4,2
Olfr1243,2
Ppfia3,2
6430573P05Rik,2
9330178D15Rik,2
Gm16503,2
Gm17705,2
Nr2f2,2
Olfr498,2
Ptgs2os2,2
Olfr1221,2
1700020L24Rik,1.996960486
Agmo,1.994791667
Gm14306,1.994505495
Ccdc162,1.99270073
Naaladl2,1.992248062
H2-Oa,1.99137931
Smad9,1.99103139
Aldoc,1.990430622
BC051226,1.98974359
Gm13012,1.98951049
Rsad2,1.989410986
Pdlim3,1.986206897
Apol6,1.985074627
Cpn2,1.984848485
Gm20507,1.984848485
Tram1l1,1.984375
Crip2,1.984195402
Jam2,1.98125
Fzd10,1.980392157
Tgm5,1.980392157
5033428I22Rik,1.979381443
Slc45a2,1.975903614
RP23-453B4.3,1.975609756
Taar5,1.975609756
Slc32a1,1.975
C3,1.974493133
5730419F03Rik,1.973451327
3110001I22Rik,1.972972973
Gng7,1.971698113
Dlx3,1.971631206
BC049715,1.971264368
Ngfr,1.970588235
Gm5086,1.969072165
Cdr1,1.96875
C4b,1.965986395
Olfr648,1.965909091
Myl1,1.964912281
Htra4,1.963636364
Dll4,1.9625
Tspan31,1.962378641
Cilp2,1.962264151
Tmprss11g,1.960784314
Itga9,1.959893048
Endog,1.958944282
Fam83a,1.956521739
Ifi207,1.956359567
Ackr2,1.954545455
Gdnf,1.954545455
Lpl,1.951612903
Slc16a14,1.95
Col5a3,1.949152542
Gm28529,1.948275862
Tbx1,1.946428571
Slc23a4,1.946308725
Olfr1124,1.945054945
Tnfsf15,1.944827586
Tspan11,1.944444444
Cd300a,1.944209311
Olfr1107,1.942857143
Kcne1,1.941798942
Gm14565,1.939393939
Lyrm7,1.938818565
Gm43156,1.938461538
Car10,1.9375
Psg18,1.9375
Grm5,1.937142857
Pcolce,1.93654267
0610033M10Rik,1.936170213
Fap,1.936170213
Pld5,1.935251799
